post_id,date,title,body,reply,user_name,user_date_joined,user_num_posts,user_reason_joined,user_diagnosis,user_country,user_state,user_city,url
49541,2021-11-11 00:00:00,Hot flashes?,My 54 year old PALS husband has started experiencing hot flashes- I’m trying to figure out if it’s a drug side effect or a new symptom- any insight?   He’s limb onset uses a bipap about 16 hours a day still eating/drinking/talking.  Thanks for the help,False,Lkbeutler,2020-02-16 00:00:00,2,CALS,2019-11-01 00:00:00,US,MD,Baltimore,https://www.alsforums.com/community/threads/hot-flashes.49541/
49555,2021-11-13 00:00:00,Help ?….,Question my dad has ALS bulbar onset for about 5 months already. He’s lost tons of weight and just had a peg tube placed last Thursday. Since we started feeding through the tube 4-6 formula bottles a day he had started feeling like he had life again. We were all so happy knowing he’s getting the nutrients and all meds that he needed. However we noticed he had been getting up a lot at night to use the RR. So we decided to stop feeding after 6 and he could still eat a few bites of cake or something like that. Well it’s gotten to the point where he doesn’t want to go anywhere and he can’t sleep cuz he always has the urge to pee. He goes all the time and he says it’s just a little trickle but the urge is there. He didn’t sleep last night because of this. Is this another symptom of ALS ?,False,Jdeanda,2021-07-30 00:00:00,22,CALS,2021-07-01 00:00:00,US,TX,corpus christi,https://www.alsforums.com/community/threads/help.49555/
49492,2021-11-02 00:00:00,Preventing bed sores transfers and breathing issues while lying down,Hello I have three main questions and I'm also curious how other families are handling these issues.  1. How do you prevent and/or treat bed sores? My dad is mostly sitting upright in bed and there's always pressure on his tailbone. He can't lie down or on the side because it makes it too hard for him to breathe. It's difficult to find a position that will relieve the tailbone because it seems to be the only position he can be on when he is in bed.  2. Does your family member transfer from bed to chair and if so what kind of chair and how do they transfer? My dad is able to slowly slide himself from bed to chair in the afternoon and then we hoyer lift him back into bed at night. The downside is that we have to use a regular wooden chair with no arm rests so it's not the most comfortable.  3. My dad can't breathe if lying flat or on his side. I'm wondering if this is something experienced by all ALS patients because of their weakened diaphragm?  Thank you.,False,Adviceseeker1,2021-05-15 00:00:00,12,CALS,2021-02-01 00:00:00,US,,,https://www.alsforums.com/community/threads/preventing-bed-sores-transfers-and-breathing-issues-while-lying-down.49492/
49678,2021-12-09 00:00:00,Dad refusing to see more doctors,Good Morning my fellow caregivers. It has been one hell of a month so far and its only the 9th. We went to an ALS clinic in SA and got alot of information that was real helpful but my dad already said he doesn't want to ever go again. That he knows what's going to happen and doesn't need anyone telling him anything. I must say he has declined pretty rapidly. We've had to take him to the urgent care the other night because of severe constipation. My dad is so exhausted. His voice is just about gone and he's twitching more in his hands and feet. He can still get around but not for long because he gets SOB. He cried to me last night that all he ever asked for in life was when it was his time to go all he wanted was to go quick and not suffer or have us suffer. that broke me into pieces. He also said he really does not want to see anymore drs that there isn't any point. Are we able to do that? just let him be and not see anymore drs?,False,Jdeanda,2021-07-30 00:00:00,22,CALS,2021-07-01 00:00:00,US,TX,corpus christi,https://www.alsforums.com/community/threads/dad-refusing-to-see-more-doctors.49678/
49541,2021-11-11 00:00:00,Hot flashes?,Sorry to hear. What drugs does he take?   Best Laurie,True,lgelb,2009-11-05 00:00:00,10734,Lost a loved one,00/0000,US,WA,Seattle,https://www.alsforums.com/community/threads/hot-flashes.49541/
49541,2021-11-11 00:00:00,Hot flashes?,Nuedexta flecainide lisinopril Ativan baclofen,True,Lkbeutler,2020-02-16 00:00:00,2,CALS,2019-11-01 00:00:00,US,MD,Baltimore,https://www.alsforums.com/community/threads/hot-flashes.49541/
49541,2021-11-11 00:00:00,Hot flashes?,Please let me start by saying I'm sorry we are welcoming you here. I would check with his neurologist to be sure of his particular case. PALS have problems regulating their body temperature and so the hot flashes may be connected to this - he feels cool but once you apply socks clothing blanket or whatever he warms up and keeps warming and so becomes suddenly hot. I'm just guessing of course but do you think it seems this could be something of what is going on?,True,affected,2013-04-26 00:00:00,14022,Lost a loved one,2013-05-01 00:00:00,OZ,AU,lala land,https://www.alsforums.com/community/threads/hot-flashes.49541/
49541,2021-11-12 00:00:00,Hot flashes?,I was taking you literally that there was no cold before the hot flashes. But if there is of course Tillie's thought is well taken.  On the other hand a couple of the drugs he is on affect autonomic function including temperature regulation and are sedating as well which can also impair breathing btw.   So if he is wanting to be more active and feeling sleepy or tired the very act of fighting that off could be draining and lead to further dysregulation. And ALS drains a lot of energy as is.   I would consider some drug review conversations with his prescribers and discuss whether titrating or a different regimen might help but not just in terms of the hot flashes. As ALS progresses the needs for cardiovascular and CNS drugs can change so it's quite common to make adjustments as you go. Given the drugs he's on it's at least worth considering that some adjustments could help his overall wellbeing.   Best Laurie,True,lgelb,2009-11-05 00:00:00,10734,Lost a loved one,00/0000,US,WA,Seattle,https://www.alsforums.com/community/threads/hot-flashes.49541/
49555,2021-11-13 00:00:00,Help ?….,If he was dehydrated before the tube his kidney function could be roaring back etc. and he could have had some small stones/calculi if he were really dehydrated. that could be causing irritation or a bladder /kidney infection. even without fever What about his BMs?  I wouldn't restrict fluids right now -- I would try to see if he can reset. If that doesn't happen in a few days he might need meds or catheterization so I would consult with his PCP.  If his bladder feels full to him when you touch it but he can't pee it out even after a BM he's retaining urine and needs to be seen.  Best Laurie,True,lgelb,2009-11-05 00:00:00,10734,Lost a loved one,00/0000,US,WA,Seattle,https://www.alsforums.com/community/threads/help.49555/
49555,2021-11-13 00:00:00,Help ?….,It's not a direct ALS symptom so please get him checked out. Catheterisation is often used when a PALS can't control things but if it is just at night there are condom catheters that can be popped on at night so he can sleep soundly. That's all providing he has been cleared of a bladder infection.  I agree his body might also just be adjusting to being well hydrated please don't limit fluids though for sure not giving him lots of fluids at night is probably a good idea.  Let us know how you go.,True,affected,2013-04-26 00:00:00,14022,Lost a loved one,2013-05-01 00:00:00,OZ,AU,lala land,https://www.alsforums.com/community/threads/help.49555/
